protocol,representation,model,fold,rank,feature,left,right,operation,formula,abs_spearman_train
fold_state_stratified,C2_all_plus_discovery,CatBoost,1,12,disc_expr_12__symmetric_change__siap_hist_yield_trend_recent__clim_official_2025_prec_season_sum,siap_hist__yield_trend_recent,clim_official_2025__prec__season_sum,symmetric_change,2*((siap_hist__yield_trend_recent)-(clim_official_2025__prec__season_sum)) / (abs(siap_hist__yield_trend_recent)+abs(clim_official_2025__prec__season_sum)+eps),0.704292656286722
fold_state_stratified,C2_all_plus_discovery,CatBoost,1,13,disc_expr_13__reverse_safe_ratio__siap_hist_yield_trend_recent__soilgrids_cec_depth_weighted_0_30cm,siap_hist__yield_trend_recent,soilgrids__cec__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__cec__depth_weighted_0_30cm) / (abs(siap_hist__yield_trend_recent) + eps),0.7013159865321326
fold_state_stratified,C2_all_plus_discovery,CatBoost,1,14,disc_expr_14__reverse_safe_ratio__clim_official_2025_prec_season_sum__soilgrids_nitrogen_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__nitrogen__depth_weighted_0_30cm) / (abs(clim_official_2025__prec__season_sum) + eps),0.6897005591564336
fold_state_stratified,C2_all_plus_discovery,CatBoost,1,15,disc_expr_15__safe_ratio__clim_official_2025_prec_season_sum__soilgrids_nitrogen_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,safe_ratio,(clim_official_2025__prec__season_sum) / (abs(soilgrids__nitrogen__depth_weighted_0_30cm) + eps),0.6897005591564336
fold_state_stratified,C2_all_plus_discovery,CatBoost,1,16,disc_expr_16__symmetric_change__clim_official_2025_prec_season_sum__soilgrids_nitrogen_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,symmetric_change,2*((clim_official_2025__prec__season_sum)-(soilgrids__nitrogen__depth_weighted_0_30cm)) / (abs(clim_official_2025__prec__season_sum)+abs(soilgrids__nitrogen__depth_weighted_0_30cm)+eps),0.6897005591564336
fold_state_stratified,C2_all_plus_discovery,CatBoost,1,17,disc_expr_17__reverse_safe_ratio__siap_hist_yield_trend_recent__wapor_2025_aeti_season_total,siap_hist__yield_trend_recent,wapor_2025__aeti__season_total,reverse_safe_ratio,(wapor_2025__aeti__season_total) / (abs(siap_hist__yield_trend_recent) + eps),0.6893330085455001
fold_state_stratified,C2_all_plus_discovery,CatBoost,1,18,disc_expr_18__reverse_safe_ratio__siap_hist_yield_trend_recent__wapor_2025_npp_season_total,siap_hist__yield_trend_recent,wapor_2025__npp__season_total,reverse_safe_ratio,(wapor_2025__npp__season_total) / (abs(siap_hist__yield_trend_recent) + eps),0.6579703199311652
fold_state_stratified,C2_all_plus_discovery,CatBoost,1,19,disc_expr_19__reverse_safe_ratio__siap_hist_yield_trend_recent__emp_vci_like_short_s2_ndvi_season_mean,siap_hist__yield_trend_recent,emp_vci_like_short__s2_ndvi__season_mean,reverse_safe_ratio,(emp_vci_like_short__s2_ndvi__season_mean) / (abs(siap_hist__yield_trend_recent) + eps),0.6575229915674109
fold_state_stratified,C2_all_plus_discovery,CatBoost,1,20,disc_expr_20__symmetric_change__siap_hist_yield_trend_recent__siap_hist_yield_mean_recent,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,symmetric_change,2*((siap_hist__yield_trend_recent)-(siap_hist__yield_mean_recent)) / (abs(siap_hist__yield_trend_recent)+abs(siap_hist__yield_mean_recent)+eps),0.6515747962544295
fold_state_stratified,C2_all_plus_discovery,PLS,1,1,disc_expr_01__reverse_safe_ratio__clim_official_2025_prec_season_sum__soilgrids_soc_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__soc__depth_weighted_0_30cm) / (abs(clim_official_2025__prec__season_sum) + eps),0.7443718898398276
fold_state_stratified,C2_all_plus_discovery,PLS,1,2,disc_expr_02__safe_ratio__clim_official_2025_prec_season_sum__soilgrids_soc_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,safe_ratio,(clim_official_2025__prec__season_sum) / (abs(soilgrids__soc__depth_weighted_0_30cm) + eps),0.7443718898398276
fold_state_stratified,C2_all_plus_discovery,PLS,1,3,disc_expr_03__symmetric_change__clim_official_2025_prec_season_sum__soilgrids_soc_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,symmetric_change,2*((clim_official_2025__prec__season_sum)-(soilgrids__soc__depth_weighted_0_30cm)) / (abs(clim_official_2025__prec__season_sum)+abs(soilgrids__soc__depth_weighted_0_30cm)+eps),0.7443718898398276
fold_state_stratified,C2_all_plus_discovery,PLS,1,4,disc_expr_04__reverse_safe_ratio__siap_hist_yield_trend_recent__agro_water_2025_precip_minus_aeti_season,siap_hist__yield_trend_recent,agro_water__2025__precip_minus_aeti_season,reverse_safe_ratio,(agro_water__2025__precip_minus_aeti_season) / (abs(siap_hist__yield_trend_recent) + eps),0.7326289719949391
fold_state_stratified,C2_all_plus_discovery,PLS,1,5,disc_expr_05__reverse_safe_ratio__siap_hist_yield_trend_recent__siap_hist_yield_mean_recent,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,reverse_safe_ratio,(siap_hist__yield_mean_recent) / (abs(siap_hist__yield_trend_recent) + eps),0.7310492495113927
fold_state_stratified,C2_all_plus_discovery,PLS,1,6,disc_expr_06__reverse_safe_ratio__siap_hist_yield_trend_recent__clim_official_2025_prec_season_sum,siap_hist__yield_trend_recent,clim_official_2025__prec__season_sum,reverse_safe_ratio,(clim_official_2025__prec__season_sum) / (abs(siap_hist__yield_trend_recent) + eps),0.7257264179713998
fold_state_stratified,C2_all_plus_discovery,PLS,1,7,disc_expr_07__reverse_safe_ratio__clim_official_2025_prec_season_sum__agro_soil_soc_x_cec,clim_official_2025__prec__season_sum,agro_soil__soc_x_cec,reverse_safe_ratio,(agro_soil__soc_x_cec) / (abs(clim_official_2025__prec__season_sum) + eps),0.71417102890467
fold_state_stratified,C2_all_plus_discovery,PLS,1,8,disc_expr_08__safe_ratio__clim_official_2025_prec_season_sum__agro_soil_soc_x_cec,clim_official_2025__prec__season_sum,agro_soil__soc_x_cec,safe_ratio,(clim_official_2025__prec__season_sum) / (abs(agro_soil__soc_x_cec) + eps),0.71417102890467
fold_state_stratified,C2_all_plus_discovery,PLS,1,9,disc_expr_09__symmetric_change__clim_official_2025_prec_season_sum__agro_soil_soc_x_cec,clim_official_2025__prec__season_sum,agro_soil__soc_x_cec,symmetric_change,2*((clim_official_2025__prec__season_sum)-(agro_soil__soc_x_cec)) / (abs(clim_official_2025__prec__season_sum)+abs(agro_soil__soc_x_cec)+eps),0.71417102890467
fold_state_stratified,C2_all_plus_discovery,PLS,1,10,disc_expr_10__reverse_safe_ratio__siap_hist_yield_trend_recent__agro_thermal_2025_gdd_proxy_base5p0c,siap_hist__yield_trend_recent,agro_thermal__2025__gdd_proxy_base5p0c,reverse_safe_ratio,(agro_thermal__2025__gdd_proxy_base5p0c) / (abs(siap_hist__yield_trend_recent) + eps),0.7098007993513492
fold_state_stratified,C2_all_plus_discovery,PLS,1,11,disc_expr_11__symmetric_change__siap_hist_yield_trend_recent__agro_water_2025_precip_minus_aeti_season,siap_hist__yield_trend_recent,agro_water__2025__precip_minus_aeti_season,symmetric_change,2*((siap_hist__yield_trend_recent)-(agro_water__2025__precip_minus_aeti_season)) / (abs(siap_hist__yield_trend_recent)+abs(agro_water__2025__precip_minus_aeti_season)+eps),0.7051521661364505
fold_state_stratified,C2_all_plus_discovery,PLS,1,12,disc_expr_12__symmetric_change__siap_hist_yield_trend_recent__clim_official_2025_prec_season_sum,siap_hist__yield_trend_recent,clim_official_2025__prec__season_sum,symmetric_change,2*((siap_hist__yield_trend_recent)-(clim_official_2025__prec__season_sum)) / (abs(siap_hist__yield_trend_recent)+abs(clim_official_2025__prec__season_sum)+eps),0.704292656286722
fold_state_stratified,C2_all_plus_discovery,PLS,1,13,disc_expr_13__reverse_safe_ratio__siap_hist_yield_trend_recent__soilgrids_cec_depth_weighted_0_30cm,siap_hist__yield_trend_recent,soilgrids__cec__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__cec__depth_weighted_0_30cm) / (abs(siap_hist__yield_trend_recent) + eps),0.7013159865321326
fold_state_stratified,C2_all_plus_discovery,PLS,1,14,disc_expr_14__reverse_safe_ratio__clim_official_2025_prec_season_sum__soilgrids_nitrogen_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__nitrogen__depth_weighted_0_30cm) / (abs(clim_official_2025__prec__season_sum) + eps),0.6897005591564336
fold_state_stratified,C2_all_plus_discovery,PLS,1,15,disc_expr_15__safe_ratio__clim_official_2025_prec_season_sum__soilgrids_nitrogen_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,safe_ratio,(clim_official_2025__prec__season_sum) / (abs(soilgrids__nitrogen__depth_weighted_0_30cm) + eps),0.6897005591564336
fold_state_stratified,C2_all_plus_discovery,PLS,1,16,disc_expr_16__symmetric_change__clim_official_2025_prec_season_sum__soilgrids_nitrogen_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,symmetric_change,2*((clim_official_2025__prec__season_sum)-(soilgrids__nitrogen__depth_weighted_0_30cm)) / (abs(clim_official_2025__prec__season_sum)+abs(soilgrids__nitrogen__depth_weighted_0_30cm)+eps),0.6897005591564336
fold_state_stratified,C2_all_plus_discovery,PLS,1,17,disc_expr_17__reverse_safe_ratio__siap_hist_yield_trend_recent__wapor_2025_aeti_season_total,siap_hist__yield_trend_recent,wapor_2025__aeti__season_total,reverse_safe_ratio,(wapor_2025__aeti__season_total) / (abs(siap_hist__yield_trend_recent) + eps),0.6893330085455001
fold_state_stratified,C2_all_plus_discovery,PLS,1,18,disc_expr_18__reverse_safe_ratio__siap_hist_yield_trend_recent__wapor_2025_npp_season_total,siap_hist__yield_trend_recent,wapor_2025__npp__season_total,reverse_safe_ratio,(wapor_2025__npp__season_total) / (abs(siap_hist__yield_trend_recent) + eps),0.6579703199311652
fold_state_stratified,C2_all_plus_discovery,PLS,1,19,disc_expr_19__reverse_safe_ratio__siap_hist_yield_trend_recent__emp_vci_like_short_s2_ndvi_season_mean,siap_hist__yield_trend_recent,emp_vci_like_short__s2_ndvi__season_mean,reverse_safe_ratio,(emp_vci_like_short__s2_ndvi__season_mean) / (abs(siap_hist__yield_trend_recent) + eps),0.6575229915674109
fold_state_stratified,C2_all_plus_discovery,PLS,1,20,disc_expr_20__symmetric_change__siap_hist_yield_trend_recent__siap_hist_yield_mean_recent,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,symmetric_change,2*((siap_hist__yield_trend_recent)-(siap_hist__yield_mean_recent)) / (abs(siap_hist__yield_trend_recent)+abs(siap_hist__yield_mean_recent)+eps),0.6515747962544295
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,1,disc_expr_01__reverse_safe_ratio__clim_official_2025_prec_season_sum__soilgrids_soc_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__soc__depth_weighted_0_30cm) / (abs(clim_official_2025__prec__season_sum) + eps),0.7443718898398276
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,2,disc_expr_02__safe_ratio__clim_official_2025_prec_season_sum__soilgrids_soc_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,safe_ratio,(clim_official_2025__prec__season_sum) / (abs(soilgrids__soc__depth_weighted_0_30cm) + eps),0.7443718898398276
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,3,disc_expr_03__symmetric_change__clim_official_2025_prec_season_sum__soilgrids_soc_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,symmetric_change,2*((clim_official_2025__prec__season_sum)-(soilgrids__soc__depth_weighted_0_30cm)) / (abs(clim_official_2025__prec__season_sum)+abs(soilgrids__soc__depth_weighted_0_30cm)+eps),0.7443718898398276
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,4,disc_expr_04__reverse_safe_ratio__siap_hist_yield_trend_recent__agro_water_2025_precip_minus_aeti_season,siap_hist__yield_trend_recent,agro_water__2025__precip_minus_aeti_season,reverse_safe_ratio,(agro_water__2025__precip_minus_aeti_season) / (abs(siap_hist__yield_trend_recent) + eps),0.7326289719949391
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,5,disc_expr_05__reverse_safe_ratio__siap_hist_yield_trend_recent__siap_hist_yield_mean_recent,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,reverse_safe_ratio,(siap_hist__yield_mean_recent) / (abs(siap_hist__yield_trend_recent) + eps),0.7310492495113927
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,6,disc_expr_06__reverse_safe_ratio__siap_hist_yield_trend_recent__clim_official_2025_prec_season_sum,siap_hist__yield_trend_recent,clim_official_2025__prec__season_sum,reverse_safe_ratio,(clim_official_2025__prec__season_sum) / (abs(siap_hist__yield_trend_recent) + eps),0.7257264179713998
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,7,disc_expr_07__reverse_safe_ratio__clim_official_2025_prec_season_sum__agro_soil_soc_x_cec,clim_official_2025__prec__season_sum,agro_soil__soc_x_cec,reverse_safe_ratio,(agro_soil__soc_x_cec) / (abs(clim_official_2025__prec__season_sum) + eps),0.71417102890467
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,8,disc_expr_08__safe_ratio__clim_official_2025_prec_season_sum__agro_soil_soc_x_cec,clim_official_2025__prec__season_sum,agro_soil__soc_x_cec,safe_ratio,(clim_official_2025__prec__season_sum) / (abs(agro_soil__soc_x_cec) + eps),0.71417102890467
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,9,disc_expr_09__symmetric_change__clim_official_2025_prec_season_sum__agro_soil_soc_x_cec,clim_official_2025__prec__season_sum,agro_soil__soc_x_cec,symmetric_change,2*((clim_official_2025__prec__season_sum)-(agro_soil__soc_x_cec)) / (abs(clim_official_2025__prec__season_sum)+abs(agro_soil__soc_x_cec)+eps),0.71417102890467
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,10,disc_expr_10__reverse_safe_ratio__siap_hist_yield_trend_recent__agro_thermal_2025_gdd_proxy_base5p0c,siap_hist__yield_trend_recent,agro_thermal__2025__gdd_proxy_base5p0c,reverse_safe_ratio,(agro_thermal__2025__gdd_proxy_base5p0c) / (abs(siap_hist__yield_trend_recent) + eps),0.7098007993513492
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,11,disc_expr_11__symmetric_change__siap_hist_yield_trend_recent__agro_water_2025_precip_minus_aeti_season,siap_hist__yield_trend_recent,agro_water__2025__precip_minus_aeti_season,symmetric_change,2*((siap_hist__yield_trend_recent)-(agro_water__2025__precip_minus_aeti_season)) / (abs(siap_hist__yield_trend_recent)+abs(agro_water__2025__precip_minus_aeti_season)+eps),0.7051521661364505
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,12,disc_expr_12__symmetric_change__siap_hist_yield_trend_recent__clim_official_2025_prec_season_sum,siap_hist__yield_trend_recent,clim_official_2025__prec__season_sum,symmetric_change,2*((siap_hist__yield_trend_recent)-(clim_official_2025__prec__season_sum)) / (abs(siap_hist__yield_trend_recent)+abs(clim_official_2025__prec__season_sum)+eps),0.704292656286722
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,13,disc_expr_13__reverse_safe_ratio__siap_hist_yield_trend_recent__soilgrids_cec_depth_weighted_0_30cm,siap_hist__yield_trend_recent,soilgrids__cec__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__cec__depth_weighted_0_30cm) / (abs(siap_hist__yield_trend_recent) + eps),0.7013159865321326
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,14,disc_expr_14__reverse_safe_ratio__clim_official_2025_prec_season_sum__soilgrids_nitrogen_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__nitrogen__depth_weighted_0_30cm) / (abs(clim_official_2025__prec__season_sum) + eps),0.6897005591564336
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,15,disc_expr_15__safe_ratio__clim_official_2025_prec_season_sum__soilgrids_nitrogen_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,safe_ratio,(clim_official_2025__prec__season_sum) / (abs(soilgrids__nitrogen__depth_weighted_0_30cm) + eps),0.6897005591564336
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,16,disc_expr_16__symmetric_change__clim_official_2025_prec_season_sum__soilgrids_nitrogen_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,symmetric_change,2*((clim_official_2025__prec__season_sum)-(soilgrids__nitrogen__depth_weighted_0_30cm)) / (abs(clim_official_2025__prec__season_sum)+abs(soilgrids__nitrogen__depth_weighted_0_30cm)+eps),0.6897005591564336
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,17,disc_expr_17__reverse_safe_ratio__siap_hist_yield_trend_recent__wapor_2025_aeti_season_total,siap_hist__yield_trend_recent,wapor_2025__aeti__season_total,reverse_safe_ratio,(wapor_2025__aeti__season_total) / (abs(siap_hist__yield_trend_recent) + eps),0.6893330085455001
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,18,disc_expr_18__reverse_safe_ratio__siap_hist_yield_trend_recent__wapor_2025_npp_season_total,siap_hist__yield_trend_recent,wapor_2025__npp__season_total,reverse_safe_ratio,(wapor_2025__npp__season_total) / (abs(siap_hist__yield_trend_recent) + eps),0.6579703199311652
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,19,disc_expr_19__reverse_safe_ratio__siap_hist_yield_trend_recent__emp_vci_like_short_s2_ndvi_season_mean,siap_hist__yield_trend_recent,emp_vci_like_short__s2_ndvi__season_mean,reverse_safe_ratio,(emp_vci_like_short__s2_ndvi__season_mean) / (abs(siap_hist__yield_trend_recent) + eps),0.6575229915674109
fold_state_stratified,C2_all_plus_discovery,PCA_RBF,1,20,disc_expr_20__symmetric_change__siap_hist_yield_trend_recent__siap_hist_yield_mean_recent,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,symmetric_change,2*((siap_hist__yield_trend_recent)-(siap_hist__yield_mean_recent)) / (abs(siap_hist__yield_trend_recent)+abs(siap_hist__yield_mean_recent)+eps),0.6515747962544295
fold_state_stratified,C2_all_plus_discovery,PCA_Poly2,1,1,disc_expr_01__reverse_safe_ratio__clim_official_2025_prec_season_sum__soilgrids_soc_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__soc__depth_weighted_0_30cm) / (abs(clim_official_2025__prec__season_sum) + eps),0.7443718898398276
fold_state_stratified,C2_all_plus_discovery,PCA_Poly2,1,2,disc_expr_02__safe_ratio__clim_official_2025_prec_season_sum__soilgrids_soc_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,safe_ratio,(clim_official_2025__prec__season_sum) / (abs(soilgrids__soc__depth_weighted_0_30cm) + eps),0.7443718898398276
fold_state_stratified,C2_all_plus_discovery,PCA_Poly2,1,3,disc_expr_03__symmetric_change__clim_official_2025_prec_season_sum__soilgrids_soc_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,symmetric_change,2*((clim_official_2025__prec__season_sum)-(soilgrids__soc__depth_weighted_0_30cm)) / (abs(clim_official_2025__prec__season_sum)+abs(soilgrids__soc__depth_weighted_0_30cm)+eps),0.7443718898398276
